"Edad","Total","Densidad"
0,490037,"0,0106779821488514"
1,500598,"0,0109081079750115"
2,569343,"0,0124060721753123"
3,627861,"0,0136811884611978"
4,658711,"0,0143534147406258"
5,684346,"0,0149120053621213"
6,706341,"0,0153912798196908"
7,751386,"0,0163728173482754"
8,728591,"0,0158761107667661"
9,728583,"0,0158759364455267"
10,717132,"0,0156264173814836"
11,738101,"0,0160833351401003"
12,737503,"0,0160703046274554"
13,729889,"0,0159043943878584"
14,710935,"0,015491383791415"
15,703252,"0,0153239700311283"
16,704096,"0,0153423609218848"
17,731795,"0,015945926423145"
18,719138,"0,0156701284322626"
19,710787,"0,0154881588484862"
20,687537,"0,0149815377464861"
21,706125,"0,0153865731462271"
22,730730,"0,0159227199081501"
23,705636,"0,0153759177604689"
24,707235,"0,0154107602181935"
25,722898,"0,0157520594147796"
26,715158,"0,0155834036156622"
27,727123,"0,0158441228193366"
28,701831,"0,0152930062209803"
29,712561,"0,0155268145833227"
30,748238,"0,0163042219405724"
31,715236,"0,0155851032477463"
32,685105,"0,0149285440897092"
33,678226,"0,014778649613982"
34,667469,"0,0145442529174566"
35,693594,"0,0151135207148653"
36,667747,"0,0145503105805257"
37,640013,"0,0139459824238431"
38,639297,"0,013930380672917"
39,667707,"0,0145494389743287"
40,693212,"0,015105196875684"
41,650252,"0,0141690918201175"
42,689158,"0,0150168595876191"
43,661317,"0,0144101998843597"
44,637731,"0,0138962572903049"
45,619949,"0,0135087847554333"
46,589547,"0,0128463204654116"
47,580669,"0,0126528674699898"
48,541213,"0,0117931151172795"
49,543620,"0,0118455640201833"
50,546245,"0,0119027631768608"
51,504768,"0,0109989729210476"
52,491818,"0,0107167904147723"
53,462616,"0,0100804743106603"
54,452878,"0,00986828178200323"
55,442538,"0,00964297158008149"
56,444739,"0,00969093171107082"
57,443923,"0,00967315094465224"
58,433520,"0,00944646796297025"
59,438185,"0,00954811903569413"
60,427430,"0,00931376591947862"
61,399185,"0,00869830299362954"
62,401361,"0,00874571837074576"
63,384250,"0,00837286702982865"
64,374508,"0,0081605873405519"
65,385303,"0,0083958120629644"
66,351568,"0,00766072118657853"
67,350406,"0,00763540102655599"
68,330171,"0,00719447724165402"
69,324709,"0,00707545941545513"
70,318163,"0,00693282106131782"
71,295606,"0,00644130053668062"
72,290209,"0,00632369907055184"
73,268275,"0,00584575381243274"
74,254952,"0,00555544357837053"
75,239101,"0,00521004783265858"
76,225072,"0,0049043537492195"
77,209322,"0,00456115880915496"
78,189676,"0,00413306942550365"
79,172809,"0,00376553488238818"
80,158822,"0,00346075598545594"
81,142868,"0,00311311585378675"
82,137793,"0,00300253081754373"
83,117770,"0,0025662265454858"
84,105192,"0,00229214997684251"
85,94311,"0,00205505130110649"
86,84113,"0,00183283530118407"
87,74048,"0,00161351739186663"
88,62247,"0,00135637177359985"
89,56651,"0,00123443406664105"
90,49075,"0,00106935185293127"
91,40612,"0,000884941771803256"
92,34039,"0,000741715083482986"
93,26287,"0,000572797802506456"
94,20586,"0,000448572129280553"
95,15721,"0,000342563025571727"
96,11679,"0,000254487219365957"
97,9075,"0,000197745655941952"
98,6407,"0,000139609522602764"
99,11419,"0,000248821779085526"
