"año","TOTAL","Menores de 1","1 a 4","5 a 9","10 a 14","15 a 19","20 a 24","25 a 29","30 a 34","35 a 39","40 a 44","45 a 49","50 a 54","55 a 59","60 a 64","65 a 69","70 a 74","75 a 79","80 a 84","85 y más","Sin especificar","tasa de mortalidad(x100000)","tasa de mortalidad"
2005,293529,9507,1539,901,1028,2370,2991,3050,3089,3629,5157,7916,11863,15829,20497,25203,32784,40544,42559,62311,762,"760,6","0,007606"
2006,292313,8986,1590,892,1083,2398,2987,3142,3191,3919,5125,7873,11623,16091,20714,24796,31690,40298,42532,62858,525,"750,1","0,007501"
2007,315852,9300,1612,804,1107,2551,3088,3333,3387,4004,5322,7924,12152,17006,21982,26979,33266,43162,46604,71501,768,"760,2","0,007602"
2008,302133,9341,1517,846,1031,2696,3299,3452,3532,3973,5269,7801,12026,16651,21305,26103,31227,39833,44166,67274,791,"802,5","0,008025"
2009,304525,9026,1483,863,1025,2708,3364,3494,3742,4276,5399,7832,11995,16833,21783,26128,31093,39177,44135,68874,1295,"758,8","0,007588"
2010,318602,8961,1446,739,986,2618,3394,3267,3721,4136,5226,7621,11408,16800,22250,27045,32660,40364,46974,78085,901,"786,3","0,007863"
2011,319059,8878,1347,762,1002,2832,3406,3365,3696,4161,5374,7707,11526,16533,22319,27474,32456,39544,46777,79126,774,"780,1","0,007801"
2012,319539,8227,1370,690,915,2898,3675,3361,3896,4352,5279,7694,11403,16980,22666,28211,32927,38189,46609,79301,896,774,"0,00774"
2013,326197,8174,1357,702,902,2964,3733,3441,3834,4468,5621,7732,11442,16755,23448,28861,33182,38538,47155,83185,703,"772,9","0,007729"
2014,325539,8202,1278,710,900,2905,3714,3445,3737,4497,5618,7250,11211,16606,22831,28663,33706,38741,46539,84385,601,773,"0,00773"
2015,333407,7445,1256,686,836,2717,3560,3222,3653,4463,5495,7550,11179,16704,23557,29995,34742,39800,46548,88290,1709,"809,8","0,008098"
2016,352992,7093,1350,698,836,2604,3420,3475,3763,4849,5846,7944,11601,17285,24722,31879,37410,42530,48827,95070,1790,"775,8","0,007758"
2017,341688,6579,1194,725,837,2457,3559,3360,3550,4586,5706,7603,10751,16067,23476,30902,36869,41320,46478,93729,1940,757,"0,00757"
2018,336823,6048,1214,593,725,2458,3528,3404,3624,4728,5920,7705,10907,15949,23553,31531,37732,41123,45054,89123,1904,"762,9","0,007629"
2019,341728,5745,1152,586,812,2202,3299,3372,3560,4396,5886,7642,10633,16284,23534,31853,38618,42494,46113,91537,2010,"760,4","0,007604"
2020,376219,4505,808,490,642,1967,2984,3371,3571,4550,6617,8817,12433,18533,27440,36939,44138,48403,50821,96258,2932,"829,1","0,008291"
2021,436799,4238,838,568,778,2189,3192,3892,4466,6015,9028,12106,17074,24493,33303,44514,52062,56212,56447,103629,1755,"953,5","0,009535"
2022,397115,4162,1032,710,903,2138,3106,3614,4012,4683,6753,8702,12258,17367,25728,36150,46104,52906,55561,110227,999,"858,9","0,008589"
